,zones,id,ten,group,short_ten,diachi,email,dienthoai,zone,image,open,Lat,Lng,quan,serviceRange,khuyenmai,mincart,giaohang,onsale,onepay,zalopay,bankaccount,messenger
10,Co.opMart Khu Vực Miền Tây,144,Co.opmart Kiên Giang,,Kiên Giang,"1332 Nguyễn Trung Trực, P. An Bình, TP Rạch Giá, tỉnh Kiên Giang",kgmarketing@coopmart.vn,(0297) 3769 999,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,899,['899'],,,False,True,False,False,,
11,Co.opMart Khu Vực Miền Tây,531,Co.opmart Hà Tiên,,Hà Tiên,"Khu phố 2, đường Mạc Công Du, phường Đông Hồ, thị xã Hà Tiên, tỉnh Kiên Giang",cmhatien-mkt@coopmart.vn,(0297) 3957 939,4,https://cooponline.vn//cnms/images/coopmart/cmhatien.jpg,7h30 - 22h,10.8282847,106.7203214,900,['900'],,,False,True,False,False,,
12,Co.opMart Khu Vực Miền Tây,542,Co.opmart Bình Thủy,,Bình Thủy,"35-37 Cách Mạng Tháng Tám, phường An Thới, quận Bình Thủy, TP.Cần Thơ",cmbinhthuy-mkt@coopmart.vn,(0292)3907 008,4,https://cooponline.vn//cnms/images/coopmart/cmbinhthuy.jpg,7h30 - 22h,10.8282847,106.7203214,918,"['918', '916', '917', '919', '923']",,,False,True,False,False,,
13,Co.opMart Khu Vực Miền Tây,187,Co.opmart Cần Thơ,,Cần Thơ,"TTTM SC Cần Thơ - số 1 Đại lộ Hòa Bình, P. Tân An, Q.Ninh Kiều, TP.Cần Thơ",ctmarketing@coopmart.vn,(0292) 3763 585 - (0292) 3763 586,4,https://cooponline.vn//cnms/images/coopmart/cmcantho.jpg,7h30 - 22h,10.8282847,106.7203214,916,"['916', '917', '918', '919', '923']",,,False,True,False,False,,
14,Co.opMart Khu Vực Miền Tây,519,Co.opmart Thốt Nốt,,Thốt Nốt,"Quốc lộ 91, khu vực Phụng Thạnh 1, phường Thốt Nốt, Quận Thốt Nốt, TP. Cần Thơ",thotnotmarketing@coopmart.vn,(0292) 385 1077,4,https://cooponline.vn//cnms/images/coopmart/cmthotnot.jpg,7h30 - 22h,10.8282847,106.7203214,923,['923'],,200000.0,False,True,False,False,,
15,Co.opMart Khu Vực Miền Tây,522,Co.opmart Cà Mau,,Cà Mau,"Số 9 Trần Hưng Đạo, Phường 5, TP Cà Mau, Tỉnh Cà Mau",cmaumarketing@coopmart.vn,(0290) 3583 333,4,https://cooponline.vn//cnms/images/coopmart/cmcamau.jpg,7h30 - 22h,10.8282847,106.7203214,964,['964'],,,False,True,False,False,,
16,Co.opMart Khu Vực Miền Tây,171,Co.opmart Ngã Bảy Hậu Giang,,Ngã Bảy,"Khu vực 3, Phường Ngã Bảy, Thị xã Ngã Bảy, Tỉnh Hậu Giang",nbmarketing@coopmart.vn,(0293) 3962 900,4,https://cooponline.vn//cnms/images/coopmart/cmngabay.jpg,7h30 - 22h,10.8282847,106.7203214,931,['931'],,400000.0,False,True,False,False,,
17,Co.opMart Khu Vực Miền Tây,121,Co.opmart Vị Thanh,,Vị Thanh,"319 Trần Hưng Đạo, P.1, TP Vị Thanh, Hậu Giang",vtmarketing@coopmart.vn,,4,https://cooponline.vn//cnms/images/coopmart/cmvithanh.jpg,7h30 - 22h,10.8282847,106.7203214,930,"['930', '931']",,,False,True,False,False,,
18,Co.opMart Khu Vực Miền Tây,147,Co.opmart Sóc Trăng,,Sóc Trăng,Số 6 Hùng Vương - P.6 - TP. Sóc Trăng,stgmarketing@coopmart.vn,(0299) 3640 132,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,941,['941'],,200000.0,False,True,False,False,,
19,Co.opMart Khu Vực Miền Tây,562,Co.opmart Thoại Sơn,,Thoại Sơn,"Ấp Bắc Sơn, đường tránh tỉnh lộ 943, Thị Trấn Núi Sập , huyện Thoại Sơn, Tỉnh An Giang",cmthoaison-mkt@coopmart.vn,(0283) 6221 331,4,https://cooponline.vn//cnms/images/coopmart/cmthoaison.jpg,7h30 - 22h,10.8282847,106.7203214,894,['894'],,,False,True,False,False,,
20,Co.opMart Khu Vực Miền Tây,520,Co.opmart Châu Đốc,,Châu Đốc,"Tổ 21, khóm Châu Quới 3, phường Châu Phú B, thành phố Châu Đốc, tỉnh An Giang",cmchaudoc-mkt@coopmart.vn,(0296) 3566 909,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,884,['884'],,,False,True,False,False,,
21,Co.opMart Khu Vực Miền Tây,535,Co.opmart Tân Châu - An Giang,,Tân Châu,"Nguyễn Du, khu tái định cư, khóm Long Thạnh D, Phường Long Thạnh, Thị xã Tân Châu, Tỉnh An Giang",cmtanchauag-mkt@coopmart.vn,(0296) 3596 400,4,https://cooponline.vn//cnms/images/coopmart/cmtanchauangiang.jpg,7h30 - 22h,10.8282847,106.7203214,887,['887'],,,False,True,False,False,,
22,Co.opMart Khu Vực Miền Tây,142,Co.opmart Bạc Liêu,,Bạc Liêu,"Số 7, Đường Trần Huỳnh, Phường 7, Thành phố Bạc Liêu, Tỉnh Bạc Liêu",blieumarketing@coopmart.vn,(0291) 3719 999,4,https://cooponline.vn//cnms/images/coopmart/cmbaclieu.jpg,7h30 - 22h,10.8282847,106.7203214,954,['954'],,,False,True,False,False,,
23,Co.opMart Khu Vực Miền Tây,120,Co.opmart Vĩnh Long,,Vĩnh Long,"Số 26 đường 3/2, P1, Tx.Vĩnh Long",vlmarketing@coopmart.vn,(0270) 3836 722,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,855,['855'],,,False,True,False,,,
24,Co.opMart Khu Vực Miền Tây,540,Co.opmart Cần Giuộc,,Cần Giuộc,"Ấp Thanh Ba, xã Mỹ Lộc, huyện Cần Giuộc, tỉnh Long An",cmcangiuoc-mkt@coopmart.vn,(0272) 3900 910,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,807,['807'],,,False,True,False,,,
25,Co.opMart Khu Vực Miền Tây,513,Co.opmart Bến Lức,,Bến Lức,"Số 61 Đường Quốc lộ 1A, khu phố 4, thị trấn Bến Lức, huyện Bến Lức, tỉnh Long An",benlucmarketing@coopmart.vn,(0272) 3630 998,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,803,['803'],,,False,True,False,,,
26,Co.opMart Khu Vực Miền Tây,517,Co.opmart Sa Đéc,,Sa Đéc,"Đường Nguyễn Sinh Sắc, Khóm 2, Phường 2, TP. Sa Đéc, Tỉnh Đồng Tháp",sadecmarketing@coopmart.vn,(0277) 3889 388 - (0277) 3886 388,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,867,"['867', '877', '876']",,,False,True,False,,,
27,Co.opMart Khu Vực Miền Tây,536,Co.opmart Duyên Hải - Trà Vinh,,Duyên Hải,"Đường Lý Thường Kiệt, Khóm 1, phường 1, thị xã Duyên Hải, tỉnh Trà Vinh",cmduyenhai-mkt@coopmart.vn,(0294) 383 2929,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,851,"['850', '851']",,,False,True,False,,,
28,Co.opMart Khu Vực Miền Tây,569,Co.opmart Tháp Mười,,Tháp Mười,"Vòng xoay Ngã tư Mỹ An, Đường Hùng Vương, Thị Trấn Mỹ An, Huyện Tháp Mười, Đồng Tháp",cmthapmuoi-mkt@coopmart.vn,02773 663399,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,872,['872'],,,False,True,False,,,
29,Co.opMart Khu Vực Miền Tây,197,Co.opmart Cao Lãnh,,Cao Lãnh,"Số 01 Ngô Thời Nhậm, Phường 1, TP. Cao Lãnh, Tỉnh Đồng Tháp",clmarketing@coopmart.vn,(0277) 3535 455,4,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,866,"['866', '873']",,,False,True,False,,,
0,Co.opMart Khu Vực Miền Bắc,150,Co.opmart Hà Tĩnh,,Hà Tĩnh,"2 Phan Đình Phùng, TP. Hà Tĩnh, Tỉnh Hà Tĩnh",htmarketing@coopmart.vn,(0239) 3896 555,5,https://cooponline.vn//cnms/images/coopmart/cmhatinh.jpg,7h30 - 22h,10.8282847,106.7203214,436,['436'],,,False,True,False,,,
1,Co.opMart Khu Vực Miền Bắc,164,"Co.opmart Sài Gòn, TP. Hà Nội",,Sài Gòn - HN,"Km số 10, Đường Nguyễn Trãi, P. Mộ Lao, Q. Hà Đông , Hà Nội",hnmarketing@coopmart.vn,(024) 6282 6888,5,https://cooponline.vn//cnms/images/coopmart/cmsaigon.jpg,7h30 - 22h,10.8282847,106.7203214,268,"['009', '268', '019']",,,False,True,False,,,
2,Co.opMart Khu Vực Miền Bắc,183,Co.opmart Hải Phòng,,Hải Phòng,"Số 1 Lê Hồng Phong, Phường Lạc Viên, Quận Ngô Quyền, TP Hải Phòng (Ngã 5 Cát Bi)",hpmarketing@coopmart.vn,(0225) 833 789,5,https://cooponline.vn//cnms/images/coopmart/cmhaiphong.jpg,7h30 - 22h,10.8282847,106.7203214,304,['304'],,,False,True,False,,,
3,Co.opMart Khu Vực Miền Bắc,185,Co.opmart Thanh Hóa,,Thanh Hóa,"Trung tâm Thương mại Hiền Đức, Đường Phan Chu Trinh, P.Điện Biên, Tp.Thanh Hóa, Tỉnh Thanh Hóa",thoamarketing@coopmart.vn,(0237) 8999 333,5,https://cooponline.vn//cnms/images/coopmart/cmthanhhoa.jpg,7h30 - 22h,10.8282847,106.7203214,380,['380'],,,False,True,False,,,
4,Co.opMart Khu Vực Miền Bắc,555,Co.opmart SCA Long Biên,,SCA Long Biên,"Tầng 2, Trung tâm Thương mại Mipec Riverside, Số 2 Long Biên 2, Ngọc Lâm, Long Biên, Hà Nội",calongbien-mkt@coopmart.vn ,,5,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,004,['004'],,,False,True,False,,,
5,Co.opMart Khu Vực Miền Bắc,502,Co.opmart Bắc Giang,,Bắc Giang,"51 Nguyễn Văn Cừ, Phường Ngô Quyền, TP. Bắc Giang, Tỉnh Bắc Giang",bacgiangmarketing@coopmart.vn,,5,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,213,['213'],,,False,True,False,False,,
6,Co.opMart Khu Vực Miền Bắc,525,Co.opmart Nam Định,,Nam Định,"91 Phố Điện Biên, Phường Cửa Bắc, Thành phố Nam Định, Tỉnh Nam Định (Tầng 2 Tòa nhà Nam Định Tower)",cmnamdinh-mkt@coopmart.vn,,5,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,356,['356'],,,False,True,False,False,,
7,Co.opMart Khu Vực Miền Bắc,552,Co.opmart SCA Victoria,,SCA Victoria,"Tầng trệt toà V2-V3 Victoria Văn Phú-CT9, Phường Phú La, Quận Hà Đông, Tp.Hà Nội.",cavictoria-mkt@coopmart.vn,,5,https://cooponline.vn//cnms/images/coopmart/sca-victoria.jpg,7h30 - 22h,10.8282847,106.7203214,268,['268'],,,False,True,False,False,,
8,Co.opMart Khu Vực Miền Bắc,179,Co.opmart Vĩnh Phúc,,Vĩnh Phúc,"Tòa nhà Trung tâm Thương Mại SOIVA Plaza, Đường Mê Linh, P.Khai Quang, TP. Vĩnh Yên, Tỉnh Vĩnh Phúc",vpmarketing@coopmart.vn,,5,https://cooponline.vn//cnms/images/coopmart/cm-vinhphuc.jpg,7h30 - 22h,10.8282847,106.7203214,243,['243'],,,False,True,False,False,,
9,Co.opMart Khu Vực Miền Bắc,537,Co.opmart Việt Trì,,Việt Trì,"Số 1606A đường Hùng Vương, phường Gia Cẩm, thành phố Việt Trì, tỉnh Phú Thọ",cmviettri-mkt@coopmart.vn,(0210) 399 2222,5,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,227,['227'],,,False,True,False,False,,
10,Co.opMart Khu Vực Miền Bắc,554,Co.opmart SCA GoldenSilk,,SCA GoldenSilk,"Tầng hầm Tòa tháp C, Khu đô thị mới Kim Văn Kim Lũ, Phường Đại Kim, Quận Hoàng Mai, Tp.Hà Nội",cavinaconex-mktcoopmart.vn,(024) 32022130,5,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,008,['008'],,,False,True,False,False,,
11,Co.opMart Khu Vực Miền Bắc,553,Co.opmart SCA GoldSilk,,SCA GoldSilk,"Tầng trệt Khu phức hợp thương mại nhà ở Goldsilk, Số 430 Phố Cầu Am,Phường Vạn Phúc, Quận Hà Đông",cagoldsilk-mkt@coopmart.vn,,5,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,268,['268'],,,False,True,False,False,,
0,Co.opMart Khu Vực Đ.Nam Bộ,516,Co.opmart Bình Dương,,Bình Dương,"Đường 30 tháng 4, phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Tỉnh Bình Dương",bdmarketing@coopmart.vn,(0274) 38 18 667,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,718,,,300000.0,False,True,False,False,,
1,Co.opMart Khu Vực Đ.Nam Bộ,503,Co.opmart Bình Dương 2,,Bình Dương 2,"Trung tâm Thương Mại Bình Dương Square - Số 1 Phú Lợi, P. Phú Hòa, TP. Thủ Dầu Một, Tỉnh Bình Dương",bd2marketing@coopmart.vn,(0274) 6259 779,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,718,['718'],,,False,True,False,False,,
2,Co.opMart Khu Vực Đ.Nam Bộ,124,Co.opmart Biên Hoà,,Biên Hoà,"121 Quốc lộ 15, P.Tân Tiến, Tp.Biên Hoà - Đồng Nai",bhmarketing@coopmart.vn,(0251) 3949 992,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,731,['731'],,,False,True,False,False,,
3,Co.opMart Khu Vực Đ.Nam Bộ,131,Co.opmart Vũng Tàu ,,Vũng Tàu,"36 Nguyễn Thái Học, P.7, TP.Vũng Tàu",vtaumarketing@coopmart.vn,(0254) 3576 200,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,747,['747'],,,False,True,False,False,,
4,Co.opMart Khu Vực Đ.Nam Bộ,118,Co.opmart Phan Thiết,,Phan Thiết,"1A Nguyễn Tất Thành, P.Bình Hưng, Tp.Phan Thiết - Bình Thuận",ptmarketing@coopmart.vn,(0252) 3835 440,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,593,['593'],,,False,True,False,False,,
5,Co.opMart Khu Vực Đ.Nam Bộ,176,Co.opmart Tây Ninh,,Tây Ninh,"576 Cách Mạng Tháng 8, Phường 3, Thành Phố Tây Ninh, Tỉnh Tây Ninh",tnmarketing@coopmart.vn,(0276) 3922 339,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,703,['703'],,,False,True,False,False,,
6,Co.opMart Khu Vực Đ.Nam Bộ,543,Co.opmart Châu Thành - TN,,Châu Thành - TN,"Đường 781, khu phố 3, thị trấn Châu Thành, huyện Châu Thành, tỉnh Tây Ninh",cmchauthanh-mkt@coopmart.vn,(0276) 3 887799,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,708,['708'],,,False,True,False,False,,
7,Co.opMart Khu Vực Đ.Nam Bộ,529,Co.opmart Tân Thành,,Tân Thành,"Quốc lộ 51, Tổ 12 Khu phố Tân Phú, Thị trấn Phú Mỹ, Huyện Tân Thành, Tỉnh Bà Rịa - Vũng Tàu",cmtanthanh-mkt@coopmart.vn,(0254) 3924 611,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,754,['754'],,,False,True,False,,,
8,Co.opMart Khu Vực Đ.Nam Bộ,515,Co.opmart Bà Rịa,,Bà Rịa,"Phường Phước Trung, TX. Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu",brmarketing@coopmart.vn,(0254) 3739 359,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,748,['748'],,,False,True,False,,,
9,Co.opMart Khu Vực Đ.Nam Bộ,127,Co.opmart Đồng Xoài,,Đồng Xoài,"TTTM Đồng Xoài, Phú Riềng Đỏ, P. Tân Bình, TX. Đồng Xoài – Tỉnh Bình Phước",bpmarketing@coopmart.vn,(0271) 3865 555,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,689,['689'],,,False,True,False,,,
10,Co.opMart Khu Vực Đ.Nam Bộ,546,Co.opmart Đồng Phú,,Đồng Phú,"Đường CMT8 - ĐT.741, khu phố Tân An, thị trấn Tân Phú, huyện Đồng Phú, Tỉnh Bình Phước",cmdongphu-mkt@coopmart.vn,(0271) 3908 001,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,695,['695'],,300000.0,False,True,False,,,
11,Co.opMart Khu Vực Đ.Nam Bộ,507,Co.opmart Lagi,,Lagi,"Đường Thống Nhất, khu phố 4, phường Tân Thiện, thị xã Lagi, tỉnh Bình Thuận",lagimarketing@coopmart.vn,(0252) 356 1888,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,594,['594'],,,False,True,False,,,
12,Co.opMart Khu Vực Đ.Nam Bộ,539,Co.opmart Phan Rí Cửa,,Phan Rí Cửa,"Đường Lý Thường Kiệt, Khu phố Minh Tân, Thị trấn Phan Rí Cửa, Huyện Tuy Phong, Tỉnh Bình Thuận",cmphanri-mkt@coopmat.vn,(0252) 3909 091,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,595,['595'],,,False,True,False,,,
13,Co.opMart Khu Vực Đ.Nam Bộ,534,Co.opmart Gò Dầu,,Gò Dầu,"Quốc lộ 22B Khu phố Rạch Sơn, Thị trấn Gò Dầu, Huyện Gò Dầu, Tỉnh Tây Ninh (Bến xe Gò Dầu cũ)",cmgodau-mkt@coopmart.vn,(0276) 3522 568,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,710,['710'],,,False,True,False,,,
14,Co.opMart Khu Vực Đ.Nam Bộ,526,Co.opmart Tân Châu,,Tân Châu,"Đường Lê Duẩn, Khu phố 2, Thị trấn Tân Châu, Huyện Tân Châu, Tỉnh Tây Ninh",cmtanchau-mkt@coopmart.vn,(0276) 3755 999,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,6h30 - 21h30,,,706,['706'],,,False,True,False,,,
15,Co.opMart Khu Vực Đ.Nam Bộ,538,Co.opmart Phước Đông,,Phước Đông,"Khu công nghiệp Phước Đông, Xã Phước Đông, Huyện Gò Dầu, Tỉnh Tây Ninh",cmphuocdong-mkt@coopmart.vn,(0276)3.628.555 - 0911.843.250,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,710,['710'],,,False,True,False,,"{'active': False, 'name': 'CN Liên Hiệp HTX Thương mại TP.HCM - Co.opMart Phước Đông', 'account': '701000438834', 'bank': 'Vietcombank - CN Tây Ninh'}",
16,Co.opMart Khu Vực Đ.Nam Bộ,189,Co.opmart Trảng Bàng,,Trảng Bàng,"Khu phố Lộc An, Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tỉnh Tây Ninh",tbmarketing@coopmart.vn,(0276) 3890 949,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,712,['712'],,,False,True,False,,,
17,Co.opMart Khu Vực Đ.Nam Bộ,563,Co.opmart Tân Biên,,Tân Biên,"Khu phố 3 đường Nguyễn Văn Linh, thị trấn Tân Biên, huyện Tân Biên, tỉnh Tây Ninh",cmtanbien-mkt@coopmart.vn,(0276) 388 7979,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,705,['705'],,,False,True,False,,,
18,Co.opMart Khu Vực Đ.Nam Bộ,564,Co.opmart Dương Minh Châu,,Dương Minh Châu,"Khu phố 1, Thị trấn Dương Minh Châu, Huyện Dương Minh Châu, Tỉnh Tây Ninh",cmduongminhchau-mkt@coopmart.vn,(0276) 374 7979,6,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,707,['707'],,,False,True,False,,,
0,Co.opMart KV Tây Nguyên,504,Co.opmart Đắk Nông,,Đắk Nông,"Đường Huỳnh Thúc Kháng, Tổ dân phố 1, Phường Nghĩa Thành, Thị xã Gia Nghĩa, Tỉnh Đắk Nông",daknongmarketing@coopmart.vn,(0261) 3555 552,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,660,['660'],,,False,True,False,False,,
1,Co.opMart KV Tây Nguyên,123,Co.opmart Pleiku,,Pleiku,"21. Cách Mạng Tháng 8, P.Hoa Lư, Tp. Pleiku, Gia lai",pkmarketing@coopmart.vn,(0269) 3720 001,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,10.8282847,106.7203214,622,['622'],,,False,True,False,False,,
2,Co.opMart KV Tây Nguyên,138,Co.opmart Buôn Ma Thuột,,Buôn Ma Thuột,"71 Nguyễn Tất Thành, P.Tân An, Tp.Buôn Ma Thuột, tỉnh Đắklắk",bmtmarketing@coopmart.vn,(0262) 3957 988,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,,,643,['643'],,,False,True,False,False,,
3,Co.opMart KV Tây Nguyên,523,Co.opmart Buôn Hồ,,Buôn Hồ,"464 Hùng Vương, Phường An Bình, Thị Xã Buôn Hồ, Tỉnh Đăk Lăk",cmbuonho-mkt@coopmart.vn,(0262) 3.818.180,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 22h,,,644,['644'],,,False,True,False,False,,
4,Co.opMart KV Tây Nguyên,527,Co.opmart Chư Sê,,Chư Sê,"912 Hùng Vương, Tổ Dân Phố 4, Thị trấn Chư Sê , huyện Chư Sê, tỉnh Gia Lai",cmchuse-mkt@coopmart.vn,(0269) 388 6111,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,633,['633'],,,False,True,False,,,
5,Co.opMart KV Tây Nguyên,528,Co.opmart Kon Tum,,Kon Tum,"205B Lê Hồng Phong, Phường Quyết Thắng, Thành phố Kon Tum, Tỉnh Kon Tum",cmkontum-mkt@coopmart.vn,(0260) 3838 789,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,608,['608'],,,False,True,False,,,
6,Co.opMart KV Tây Nguyên,173,Co.opmart Bảo Lộc,,Bảo Lộc,"Tháp Nước, đường Trần Phú, phường 2, thành phố Bảo Lộc, tỉnh Lâm Đồng",blmarketing@coopmart.vn,(0263) 371 0610,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,673,['673'],,,False,True,False,,,
7,Co.opMart KV Tây Nguyên,566,Co.opmart Cư M Gar,,Cư M Gar,"Tổ dân phố 2, đường Hùng Vương, thị trấn Quảng Phú, huyện Cư M gar, tỉnh Đắk Lắk",cmcumgar-mkt@coopmart.vn,(0262) 3510 139,8,https://cooponline.vn//cnms/images/coopmart/logo-cm.jpg,7h30 - 17h,,,648,['648'],,,False,True,False,,,
0,Finelife Supermarket,399,Finelife supermarket Urban Hill,,F.Urban Hill,"Lô H6-3 Khu A, Phú Mỹ Hưng, Nguyễn Văn Linh",urban-tndvkh@finelife.vn,,7,https://cooponline.vn//cnms/images/coopmart/fnurbanhill.jpg,7h30 - 22h,10.8282847,106.7203214,778,"['778', '773']",,200000,False,True,False,,,
1,Finelife Supermarket,4201,Finelife Foodstore Hà Đô,,F.Hà Đô,"200 Đường 3/2, Phường 12, Quận 10, Thành phố Hồ Chí Minh",hado-tndvkh@finelife.vn,,7,https://cooponline.vn//cnms/images/coopmart/fnhado.jpg,7h30 - 22h,10.8282847,106.7203214,771,['771'],,200000,False,True,False,,,
2,Finelife Supermarket,4202,Finelife Riviera Point,,F.Riviera Point,"Số 02 Nguyễn Văn Tưởng, Tân Phú, Quận 7, Thành phố Hồ Chí Minh",riviera-tndvkh@finelife.vn,,7,https://cooponline.vn//cnms/images/coopmart/fnriviera.jpg,7h30 - 22h,10.8282847,106.7203214,778,['778'],,200000,False,True,False,,,
3,Finelife Supermarket,4203,Finelife SaigonMia,,F.SaigonMia,"căn hộ SG Mia đường 9A, Bình Hưng, Bình Chánh, Thành phố Hồ Chí Minh",mia-tndvkh@finelife.vn,,7,https://cooponline.vn//cnms/images/coopmart/fnmia.jpg,7h30 - 22h,10.8282847,106.7203214,785,['785'],,200000,False,True,False,,,
